Id,name,money,nationality,teams
nicholas-carlson,Nicholas Carlson,0,United States of America,empty
patrick-fernandes,Patrick Fernandes,0,Brazil,"[{'season': 2016, 'team': 'DEXThird'}]"
yuma-koizumi,Yuma Koizumi,0,Japan,empty
evan-gascoyne,Evan Gascoyne,0,United States of America,empty
corey-burkhart,Corey Burkhart,0,United States of America,"[{'season': 2016, 'team': 'Channel Fireball Fire'}, {'season': 2017, 'team': 'Face to Face Games'}, {'season': 2018, 'team': 'Team RIW'}]"
sebastian-pozzo,Sebastian Pozzo,0,Argentina,"[{'season': 2016, 'team': 'Ligamagic'}, {'season': 2017, 'team': 'Hareruya Latin'}, {'season': 2018, 'team': 'Hareruya Latin'}]"
martin-muller,Martin Müller,0,Denmark,"[{'season': 2016, 'team': 'Genesis'}, {'season': 2017, 'team': 'Genesis'}, {'season': 2018, 'team': 'Snapcardster X MTGMintcard'}]"
kazuo-washimi,Kazuo Washimi,0,Japan,empty
andrew-elenbogen,Andrew Elenbogen,0,United States of America,"[{'season': 2018, 'team': 'Cardboard Live'}]"
bertrand-fagnoni,Bertrand Fagnoni,0,France,empty
stanislav-cifka,Stanislav Cifka,0,Czech Republic,empty
dmitry-medvedev,Dmitry Medvedev,0,Russian Federation,empty
isaiah-ley,Isaiah Ley,0,United States of America,empty
stephan-schwarz,Stephan Schwarz,0,Germany,empty
theo-moutier,Théo Moutier,0,France,empty
ethan-neubert,Ethan Neubert,0,United States of America,empty
dzianis-parkhats,Dzianis Parkhats,0,Belarus,empty
mikel-diez,Mikel Diez,0,Spain,empty
gustavo-coraiola,Gustavo Coraiola,0,Brazil,empty
miguel-da-cruz-simoes,Miguel da Cruz Simoes,0,Portugal,empty
mark-donaldson,Mark Donaldson,0,United States of America,empty
takeshi-senoo,Takeshi Senoo,0,Japan,empty
christopher-kvartek,Christopher Kvartek,0,United States of America,empty
jacob-crook,Jacob Crook,0,England,empty
oliver-tiu,Oliver Tiu,0,United States of America,"[{'season': 2016, 'team': 'Face to Face Games'}, {'season': 2017, 'team': 'Legion'}, {'season': 2018, 'team': 'Legion'}]"
ole-andvik,Ole Andvik,0,Norway,empty
david-gonzalez-romero,David González Romero,0,empty,empty
mark-jacobson,Mark Jacobson,0,United States of America,"[{'season': 2016, 'team': 'Massdrop West'}, {'season': 2017, 'team': 'Massdrop East'}, {'season': 2018, 'team': 'Massdrop MTG'}]"
luca-casadei,Luca Casadei,0,Italy,empty
jeff-hoogland,Jeff Hoogland,0,United States of America,empty
brandon-burton,Brandon Burton,0,United States of America,empty
tulio-jaudy,Tulio Jaudy,0,Brazil,empty
tian-fa-mun,Tian Fa Mun,0,Italy,empty
george-kaschihin,George Kaschihin,0,Russian Federation,empty
antonino-de-rosa,Antonino de Rosa,0,Italy,empty
daniel-vega,Daniel Vega,0,Chile,"[{'season': 2018, 'team': 'Cardhoarder Mentoring'}]"
john-girardot,John Girardot,0,France,empty
frederico-bastos,Frederico Bastos,0,Portugal,empty
pierre-violleau,Pierre Violleau,0,France,empty
raymond-nevison,Raymond Nevison,0,United States of America,empty
isaak-krut,Isaak Krut,0,Canada,empty
andrew-smith,Andrew Smith,0,United States of America,empty
kohei-yoshino,Kohei Yoshino,0,Japan,empty
pierson-laughlin,Pierson Laughlin,0,United States of America,empty
alexander-steyer,Alexander Steyer,0,Germany,empty
jordan-cairns,Jordan Cairns,0,Canada,empty
simone-rocutto,Simone Rocutto,0,Italy,empty
roberto-acquaviva,Roberto Acquaviva,0,Italy,empty
par-andersson,Pär Andersson,0,Sweden,empty
julian-ansaldo,Julián Ansaldo,0,Argentina,empty
kurenai-asano,Kurenai Asano,0,Japan,empty
alexander-boutwell,Alexander Boutwell,0,United States of America,empty
