Source,Target,relation,money,team
kenta-masukado,regional-championship-nagoya-2024,TopFinish,1400,
kouta-ehara,regional-championship-nagoya-2024,TopFinish,1400,
soo-han-yoon,regional-championship-nagoya-2024,TopFinish,1400,
ryohei-kobayashi,regional-championship-nagoya-2024,TopFinish,1400,
liang-jianwei,regional-championship-beijing-2024,TopFinish,5000,
yang-shi,regional-championship-beijing-2024,TopFinish,2500,
hong-xuan-chen,regional-championship-beijing-2024,TopFinish,1250,
sun-sihong,regional-championship-beijing-2024,TopFinish,1250,
fuqi-li,regional-championship-beijing-2024,TopFinish,1000,
yuxuan-zhang,regional-championship-beijing-2024,TopFinish,1000,
li-kaiyuan,regional-championship-beijing-2024,TopFinish,1000,
bin-jia,regional-championship-beijing-2024,TopFinish,1000,
brennan-crawford,regional-championship-melbourne-2-2024,TopFinish,5000,
nathan-basser,regional-championship-melbourne-2-2024,TopFinish,2500,
max-bracken,regional-championship-melbourne-2-2024,TopFinish,1250,
shaun-henry,regional-championship-melbourne-2-2024,TopFinish,1250,
ben-tudman,regional-championship-melbourne-2-2024,TopFinish,750,
rowan-millers,regional-championship-melbourne-2-2024,TopFinish,750,
jeremy-mackney,regional-championship-melbourne-2-2024,TopFinish,750,
zen-takahashi,regional-championship-melbourne-2-2024,TopFinish,750,
mateo-ferreira,regional-championship-naples-2024,TopFinish,16000,
ivan-errico,regional-championship-naples-2024,TopFinish,10000,
andre-santos,regional-championship-naples-2024,TopFinish,6000,
eliott-boussaud,regional-championship-naples-2024,TopFinish,6000,
remi-roudier,regional-championship-naples-2024,TopFinish,4000,
riccardo-biava,regional-championship-naples-2024,TopFinish,4000,
alexander-mertins,regional-championship-naples-2024,TopFinish,4000,
edgar-simmons,regional-championship-naples-2024,TopFinish,4000,
wei-chung-shi,regional-championship-taipei-city-2-2024,TopFinish,1200,
szu-yuan-chen,regional-championship-taipei-city-2-2024,TopFinish,800,
liang-yi-huang,regional-championship-taipei-city-2-2024,TopFinish,500,
